"id","title","description","genre","cast","director"
"c06a61ba-fc90-499d-8f50-39c9eb5f3658","The Watchers","As an artist is stranded in a forest in western Ireland, she arrives at a bunker and meets three strangers. Over time, the foursome is attacked by strange creatures every night.","Fantasy,Horror,Mystery,Thriller","Dakota Fanning,Georgina Campbell,Olwen Fouere,Siobhan Hewlett","The Watchers"
"b2843b02-b698-4c64-b151-8b171085f1af","Bad Boys: Ride or Die","After the events that took place in the third part, when a new threat appears in the city of Miami from some bad boys, the police must confront them forcefully and firmly while imposing control.","Comedy,Action,Adventure,Thriller,Crime","Will Smith,Martin Lawrence,Vanessa Hudgens,Alexander Ludwig","Bad Boys: Ride or Die"
"6f6fe9ae-63fb-488c-b246-3818c1757d6e","Dragonkeeper","After years of a strong relationship between humans and dragons in China, the long-term friendship collapses and the dragons become hunted by humans until a girl appears in a small village and a close relationship develops between her and a dragon.","Animation","Bill Nighy,Anthony Howell,Bill Bailey,Mayalinee Griffiths","Dragonkeeper"
"3dd671b2-5130-4356-a064-65264f2197f1","Wahashtini","With her mother dying, Sue is forced to face her troubling past through an emotional journey that takes her back to the heart of the city of Alexandria, Egypt, in search of the woman she left behind.","Drama,Comedy","Nadine Labaki,Fanny Ardant,Laila Ezz El Arab,Hani Adel","Wahashtini"
"44326193-239f-49ac-9099-e0f97c2ebd25","Damaged","Chicago detective Dan Lawson travels to Scotland in order to collaborate with a Scottish detective on a case involving the familiar crimes of a mysterious serial killer.","Action,Crime,Drama,Thriller,Mystery","Samuel L. Jackson,Vincent Cassel,Gianni Capaldi,John Hannah","Damaged"
"6482991e-0a1d-43e3-93e6-621a290154bb","Tarot","A group of friends gathers to play tarot, and they make a mistake with the rules of the game, causing an evil force to be summoned that puts all their lives at stake.","Horror","Avantika,Olwen Fouere,Harriet Slater,Jacob Batalon","Tarot"
"2c4505b0-43ab-4814-8493-b804a0e45e75","Darkness of Man","The Interpol agent Russell Hatch takes on the task of protecting Jayden, whose father was accidentally killed in a raid.","Thriller,Action","Jean-Claude Van Damme,Emerson Min,Kristanna Loken,Peter Jae","Darkness of Man"
"ab1f526c-6afa-409b-80d3-1495b8ddb581","Detective Conan: The Million-Dollar Pentagram","Conan and Inspector Nakamori are responsible for pursuing Kaito Kid after he steals two mysterious Wakizashi swords from Toshizo Hijikata. Over time, Kaito Kid's plan becomes clear as he aspires to reach a great treasure.","Animation,Mystery,Romance","Minami Takayama,Kenjiro Tsuda,Rikiya Koyama,Wakana Yamazaki","Detective Conan: The Million-Dollar Pentagram"
"631c38ae-2c98-4cf9-a82e-8a344aa1c2c2","The Garfield Movie","The film follows the life of Garfield the cat, who goes through many adventures and amazing events in his life.","Animation,Adventure,Comedy,Family,Fantasy","Chris Pratt,Nicholas Hoult,Hannah Waddingham,Samuel L. Jackson","The Garfield Movie"
"be701822-8f96-403a-9b0b-3a8485944edc","Tani Tani","A bank employee has been friends with two different men since childhood; however, when they both begin competing for her hand in marriage, they get into many comedic situations and paradoxes.","Comedy,Drama","Ahmad Adam,Ghada Abdel Razek,Bayoumi Fouad,Tharaa Goubail","Tani Tani"
"f0ed15bc-76af-43cd-8abb-3f88d21983a7","Benadar Zorofak","Hassan and Malak live in an impoverished neighborhood whose residents eat chicken legs and skeletons as the story sheds light on the issues of high pricing, monopoly, merchants' greed, the ensuing challenges of life, and the extent of love's ability to resist this environment.","Romance,Comedy","Ahmad Al Fishawy,Mai Selim,Nesreen Tafesh,Mahmoud Hafez","Benadar Zorofak"
"72a14c9c-ab45-4130-8304-b55f980a2e27","Sting","After the 12-year-old girl Charlotte finds a tiny spider in her building, she bonds with it. But things take a terrifying turn when the spider starts growing at an alarming rate, devouring everyone in its path.","Horror,Thriller","Alyla Browne,Penelope Mitchell,Ryan Corr,Jermaine Fowler","Sting"
"d8652235-947e-43d2-be5a-b2e786e2a741","Furiosa: A Mad Max Saga","The beginning of rebel warrior Furiosa's journey before to her alliance with Mad Max in ""Fury Road""","Action,Science Fiction,Adventure,Thriller","Anya Taylor-Joy,Chris Hemsworth,Tom Burke,Nathan Jones","Furiosa: A Mad Max Saga"
"8d451e35-f805-4df6-b998-b41618b3d7d1","Abigail","A group of criminals kidnaps a teenage ballet dancer who is the daughter of an infamous crime lord, but over time, they discover that she is not just a normal girl.","Thriller,Horror","Kathryn Newton,Dan Stevens,Kevin Durand,Melissa Barrera","Abigail"
"f8dace58-3928-4b20-b299-affceba1bcad","IF","Bea, a young girl who has gone through a tough time, develops the ability to see the imaginary friends of those who have grown up and are left behind by their real friends.","Comedy,Drama,Family,Fantasy","Ryan Reynolds,John Krasinski,Emily Blunt,Matt Damon","IF"
