Title,Release Date
The Watchers,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Bad Boys: Ride or Die,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Dragonkeeper,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Wahashtini,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Damaged,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Tarot,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Darkness of Man,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Detective Conan: The Million-Dollar Pentagram,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
The Garfield Movie,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Tani Tani,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Benadar Zorofak,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Sting,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Furiosa: A Mad Max Saga,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
Abigail,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
IF,5 June 2024 Fantasy Horror Mystery Thriller 5 June 2024 Comedy Action Adventure Thriller Crime 5 June 2024 Animation 5 June 2024 Drama Comedy 29 May 2024 Action Crime Drama Thriller Mystery 29 May 2024 Horror 29 May 2024 Thriller Action 29 May 2024 Animation Mystery Romance 23 May 2024 Animation Adventure Comedy Family Fantasy 22 May 2024 Comedy Drama 22 May 2024 Romance Comedy 22 May 2024 Horror Thriller 22 May 2024 Action Science Fiction Adventure Thriller 15 May 2024 Thriller Horror 15 May 2024 Comedy Drama Family Fantasy 
